group_key,n_runs,mean_accuracy,std_accuracy,best_accuracy,best_run_id,best_metrics_path
RAG|medembed|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot,1,0.593872741555,0.000000000000,0.593872741555,RAG|medembed|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|medembed|dense|coarse_k20|reranker_on|no_reformulation|gemma3|zero_shot,1,0.567164179104,0.000000000000,0.567164179104,RAG|medembed|dense|coarse_k20|reranker_on|no_reformulation|gemma3|zero_shot|v2,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/no_reformulation/gemma3/zero_shot/v2/metrics.json
RAG|medembed|dense|coarse_k20|reranker_on|no_reformulation|llama3_med42_8b|zero_shot,1,0.585231736057,0.000000000000,0.585231736057,RAG|medembed|dense|coarse_k20|reranker_on|no_reformulation|llama3_med42_8b|zero_shot|v3,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/v3/metrics.json
RAG|medembed|dense|coarse_k20|reranker_on|reformulation|gemma3|zero_shot,1,0.571877454831,0.000000000000,0.571877454831,RAG|medembed|dense|coarse_k20|reranker_on|reformulation|gemma3|zero_shot|v3,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/reformulation/gemma3/zero_shot/v3/metrics.json
RAG|medembed|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot,1,0.604870384918,0.000000000000,0.604870384918,RAG|medembed|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|v2,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/v2/metrics.json
RAG|medembed|dense|coarse_off|reranker_off|no_reformulation|gemma3|zero_shot,1,0.537313432836,0.000000000000,0.537313432836,RAG|medembed|dense|coarse_off|reranker_off|no_reformulation|gemma3|zero_shot|v2,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/no_reformulation/gemma3/zero_shot/v2/metrics.json
RAG|medembed|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot,1,0.580518460330,0.000000000000,0.580518460330,RAG|medembed|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|medembed|dense|coarse_off|reranker_off|reformulation|gemma3|zero_shot,1,0.553809897879,0.000000000000,0.553809897879,RAG|medembed|dense|coarse_off|reranker_off|reformulation|gemma3|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/reformulation/gemma3/zero_shot/metrics.json
RAG|medembed|dense|coarse_off|reranker_off|reformulation|llama3_med42_8b|zero_shot,1,0.598586017282,0.000000000000,0.598586017282,RAG|medembed|dense|coarse_off|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|medembed|dense|coarse_off|reranker_on|no_reformulation|gemma3|zero_shot,1,0.567164179104,0.000000000000,0.567164179104,RAG|medembed|dense|coarse_off|reranker_on|no_reformulation|gemma3|zero_shot|v2,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/no_reformulation/gemma3/zero_shot/v2/metrics.json
RAG|medembed|dense|coarse_off|reranker_on|no_reformulation|llama3_med42_8b|zero_shot,1,0.584446190102,0.000000000000,0.584446190102,RAG|medembed|dense|coarse_off|reranker_on|no_reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|medembed|dense|coarse_off|reranker_on|reformulation|gemma3|zero_shot,1,0.568735271013,0.000000000000,0.568735271013,RAG|medembed|dense|coarse_off|reranker_on|reformulation|gemma3|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/reformulation/gemma3/zero_shot/metrics.json
RAG|medembed|dense|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot,1,0.603299293009,0.000000000000,0.603299293009,RAG|medembed|dense|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|medembed|hybrid|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot,1,0.585231736057,0.000000000000,0.585231736057,RAG|medembed|hybrid|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/medembed/hybrid/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
